Provincia,Codigo_provincia,Departamento,Codigo_departamento,Codigo_concatenado
Ciudad Autónoma de Buenos Aires,02,Comuna 1,001,02001
Ciudad Autónoma de Buenos Aires,02,Comuna 2,002,02002
Ciudad Autónoma de Buenos Aires,02,Comuna 3,003,02003
Ciudad Autónoma de Buenos Aires,02,Comuna 4,004,02004
Ciudad Autónoma de Buenos Aires,02,Comuna 5,005,02005
Ciudad Autónoma de Buenos Aires,02,Comuna 6,006,02006
Ciudad Autónoma de Buenos Aires,02,Comuna 7,007,02007
Ciudad Autónoma de Buenos Aires,02,Comuna 8,008,02008
Ciudad Autónoma de Buenos Aires,02,Comuna 9,009,02009
Ciudad Autónoma de Buenos Aires,02,Comuna 10,010,02010
Ciudad Autónoma de Buenos Aires,02,Comuna 11,011,02011
Ciudad Autónoma de Buenos Aires,02,Comuna 12,012,02012
Ciudad Autónoma de Buenos Aires,02,Comuna 13,013,02013
Ciudad Autónoma de Buenos Aires,02,Comuna 14,014,02014
Ciudad Autónoma de Buenos Aires,02,Comuna 15,015,02015
Buenos Aires,06,Adolfo Alsina,007,06007
Buenos Aires,06,Adolfo Gonzales Chaves,014,06014
Buenos Aires,06,Alberti,021,06021
Buenos Aires,06,Almirante Brown,028,06028
Buenos Aires,06,Avellaneda,035,06035
Buenos Aires,06,Ayacucho,042,06042
Buenos Aires,06,Azul,049,06049
Buenos Aires,06,Bahía Blanca,056,06056
Buenos Aires,06,Balcarce,063,06063
Buenos Aires,06,Baradero,070,06070
Buenos Aires,06,Arrecifes,077,06077
Buenos Aires,06,Benito Juárez,084,06084
Buenos Aires,06,Berazategui,091,06091
Buenos Aires,06,Berisso,098,06098
Buenos Aires,06,Bolívar,105,06105
Buenos Aires,06,Bragado,112,06112
Buenos Aires,06,Brandsen,119,06119
Buenos Aires,06,Campana,126,06126
Buenos Aires,06,Cañuelas,134,06134
Buenos Aires,06,Capitán Sarmiento,140,06140
Buenos Aires,06,Carlos Casares,147,06147
Buenos Aires,06,Carlos Tejedor,154,06154
Buenos Aires,06,Carmen de Areco,161,06161
Buenos Aires,06,Castelli,168,06168
Buenos Aires,06,Colón,175,06175
Buenos Aires,06,Coronel de Marina Leonardo Rosales,182,06182
Buenos Aires,06,Coronel Dorrego,189,06189
Buenos Aires,06,Coronel Pringles,196,06196
Buenos Aires,06,Coronel Suárez,203,06203
Buenos Aires,06,Chacabuco,210,06210
Buenos Aires,06,Chascomús,217,06217
Buenos Aires,06,Chivilcoy,224,06224
Buenos Aires,06,Daireaux,231,06231
Buenos Aires,06,Dolores,238,06238
Buenos Aires,06,Ensenada,245,06245
